comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,None,None,None,1
